id;descricao;valor;data;id_conta
E-ALUGUEL-0;Aluguel Mensal - Mês 1;12000;2024-01-05T03:00:00.000Z;4
E-FOLHA-0;Folha de Pagamento - Mês 1;28000;2024-01-06T03:00:00.000Z;4
E-ENERGIA-0;Energia Elétrica - Mês 1;4500;2024-01-10T03:00:00.000Z;4
E-INTERNET-0;Internet e Software - Mês 1;850;2024-01-12T03:00:00.000Z;4
E-ALUGUEL-1;Aluguel Mensal - Mês 2;12000;2024-02-05T03:00:00.000Z;4
E-FOLHA-1;Folha de Pagamento - Mês 2;28000;2024-02-06T03:00:00.000Z;4
E-ENERGIA-1;Energia Elétrica - Mês 2;4500;2024-02-10T03:00:00.000Z;4
E-INTERNET-1;Internet e Software - Mês 2;850;2024-02-12T03:00:00.000Z;4
E-VAR-1704250800000;Compra de Insumos Reposição;1910.8976121236437;2024-01-03T03:00:00.000Z;4
E-VAR-1704510000000;Compra de Insumos Reposição;2192.0706991538177;2024-01-06T03:00:00.000Z;4
E-VAR-1704769200000;Compra de Insumos Reposição;2102.3488425284213;2024-01-09T03:00:00.000Z;4
E-VAR-1705028400000;Compra de Insumos Reposição;1559.7911911366489;2024-01-12T03:00:00.000Z;4
E-VAR-1705287600000;Compra de Insumos Reposição;2188.253132201077;2024-01-15T03:00:00.000Z;4
E-VAR-1705546800000;Compra de Insumos Reposição;2090.9854967473148;2024-01-18T03:00:00.000Z;4
E-VAR-1705806000000;Compra de Insumos Reposição;2342.1391325772074;2024-01-21T03:00:00.000Z;4
E-VAR-1706065200000;Compra de Insumos Reposição;2143.892830561668;2024-01-24T03:00:00.000Z;4
E-VAR-1706324400000;Compra de Insumos Reposição;1633.950510619344;2024-01-27T03:00:00.000Z;4
E-VAR-1706583600000;Compra de Insumos Reposição;1885.2131474867542;2024-01-30T03:00:00.000Z;4
E-VAR-1706929200000;Compra de Insumos Reposição;1862.6113667678692;2024-02-03T03:00:00.000Z;4
E-VAR-1707188400000;Compra de Insumos Reposição;2029.5922110589868;2024-02-06T03:00:00.000Z;4
E-VAR-1707447600000;Compra de Insumos Reposição;2341.10537936364;2024-02-09T03:00:00.000Z;4
E-VAR-1707706800000;Compra de Insumos Reposição;1561.4351928291246;2024-02-12T03:00:00.000Z;4
E-VAR-1707966000000;Compra de Insumos Reposição;2013.8786682762861;2024-02-15T03:00:00.000Z;4
E-VAR-1708225200000;Compra de Insumos Reposição;1540.457654963882;2024-02-18T03:00:00.000Z;4
E-VAR-1708484400000;Compra de Insumos Reposição;2113.95572980593;2024-02-21T03:00:00.000Z;4
E-VAR-1708743600000;Compra de Insumos Reposição;1547.8077499068613;2024-02-24T03:00:00.000Z;4
E-VAR-1709002800000;Compra de Insumos Reposição;2363.103349494372;2024-02-27T03:00:00.000Z;4
E-VAR-1709434800000;Compra de Insumos Reposição;2414.0605732236622;2024-03-03T03:00:00.000Z;4
E-VAR-1709694000000;Compra de Insumos Reposição;1985.5362552929514;2024-03-06T03:00:00.000Z;4
E-VAR-1709953200000;Compra de Insumos Reposição;2331.2880706603373;2024-03-09T03:00:00.000Z;4
E-VAR-1710212400000;Compra de Insumos Reposição;1615.555079914941;2024-03-12T03:00:00.000Z;4
E-VAR-1710471600000;Compra de Insumos Reposição;2057.256962120286;2024-03-15T03:00:00.000Z;4
E-VAR-1710730800000;Compra de Insumos Reposição;1625.4458656590036;2024-03-18T03:00:00.000Z;4
E-VAR-1710990000000;Compra de Insumos Reposição;1955.4077224464588;2024-03-21T03:00:00.000Z;4
E-VAR-1711249200000;Compra de Insumos Reposição;2090.8348275281223;2024-03-24T03:00:00.000Z;4
E-VAR-1711508400000;Compra de Insumos Reposição;1821.0242022740454;2024-03-27T03:00:00.000Z;4
